id,group,score,age
1,A,62,37
2,A,73,22
3,B,64,32
4,B,65,33
5,B,72,21
6,A,66,23
7,A,86,29
8,A,74,22
9,A,93,21
10,A,75,24
11,A,79,29
12,B,66,20
13,A,74,26
14,B,97,29
15,B,90,26
16,A,81,36
17,A,88,29
18,A,98,31
19,A,100,29
20,B,65,28
21,A,92,37
22,A,92,26
23,A,74,40
24,A,68,33
25,B,83,36
26,A,92,32
27,B,69,40
28,B,65,40
29,B,66,40
30,A,75,35
31,B,79,33
32,A,60,33
33,B,68,30
34,A,71,27
35,A,70,38
36,B,76,36
37,B,79,37
38,B,67,27
39,A,74,38
40,B,69,20
41,B,70,21
42,B,72,25
43,A,82,20
44,B,91,34
45,A,98,22
46,B,80,26
47,B,70,26
48,B,87,36
49,A,80,22
50,B,99,33
51,B,98,40
52,A,95,35
53,B,79,30
54,B,95,33
55,A,62,29
56,B,82,24
57,B,86,34
58,A,90,28
59,B,67,26
60,A,86,22
61,A,84,28
62,B,82,27
63,A,63,29
64,B,65,39
65,A,68,21
66,B,93,30
67,B,73,38
68,B,69,35
69,B,90,34
70,B,73,25
71,A,96,34
72,B,68,40
73,B,76,33
74,A,65,23
75,B,100,33
76,A,88,28
77,A,65,25
78,B,95,33
79,A,86,30
80,B,61,26
81,B,65,21
82,B,100,29
83,B,76,22
84,A,90,31
85,B,65,37
86,A,71,38
87,A,65,30
88,B,79,28
89,B,68,38
90,A,96,36
91,A,61,24
92,B,78,39
93,A,94,35
94,A,69,30
95,A,71,21
96,A,74,21
97,B,87,39
98,B,92,20
99,B,69,26
100,B,81,36
